status	model	condition	concurrency	run_no	result_file	utc_time
ok	qwen	gpu_only_normal	4	1	./fixd_load_control_runs/qwen/main/gpu_only_normal/qwen_fixd_main_gpu_only_normal_profile-reference_conc4_run1.json	2026-07-26T11:04:29Z
ok	qwen	gpu_only_loaded	4	1	./fixd_load_control_runs/qwen/main/gpu_only_loaded/qwen_fixd_main_gpu_only_loaded_profile-reference_conc4_run1.json	2026-07-26T11:05:08Z
ok	qwen	gpu_only_normal	4	2	./fixd_load_control_runs/qwen/main/gpu_only_normal/qwen_fixd_main_gpu_only_normal_profile-reference_conc4_run2.json	2026-07-26T11:05:23Z
ok	qwen	gpu_only_loaded	4	2	./fixd_load_control_runs/qwen/main/gpu_only_loaded/qwen_fixd_main_gpu_only_loaded_profile-reference_conc4_run2.json	2026-07-26T11:06:01Z
ok	qwen	gpu_only_normal	4	3	./fixd_load_control_runs/qwen/main/gpu_only_normal/qwen_fixd_main_gpu_only_normal_profile-reference_conc4_run3.json	2026-07-26T11:06:17Z
ok	qwen	gpu_only_loaded	4	3	./fixd_load_control_runs/qwen/main/gpu_only_loaded/qwen_fixd_main_gpu_only_loaded_profile-reference_conc4_run3.json	2026-07-26T11:06:55Z
ok	qwen	gpu_only_normal	8	1	./fixd_load_control_runs/qwen/main/gpu_only_normal/qwen_fixd_main_gpu_only_normal_profile-reference_conc8_run1.json	2026-07-26T11:07:08Z
ok	qwen	gpu_only_loaded	8	1	./fixd_load_control_runs/qwen/main/gpu_only_loaded/qwen_fixd_main_gpu_only_loaded_profile-reference_conc8_run1.json	2026-07-26T11:07:49Z
ok	qwen	gpu_only_normal	8	2	./fixd_load_control_runs/qwen/main/gpu_only_normal/qwen_fixd_main_gpu_only_normal_profile-reference_conc8_run2.json	2026-07-26T11:08:02Z
ok	qwen	gpu_only_loaded	8	2	./fixd_load_control_runs/qwen/main/gpu_only_loaded/qwen_fixd_main_gpu_only_loaded_profile-reference_conc8_run2.json	2026-07-26T11:08:44Z
ok	qwen	gpu_only_normal	8	3	./fixd_load_control_runs/qwen/main/gpu_only_normal/qwen_fixd_main_gpu_only_normal_profile-reference_conc8_run3.json	2026-07-26T11:08:57Z
ok	qwen	gpu_only_loaded	8	3	./fixd_load_control_runs/qwen/main/gpu_only_loaded/qwen_fixd_main_gpu_only_loaded_profile-reference_conc8_run3.json	2026-07-26T11:09:39Z
ok	qwen	cpu_offload12	4	1	./fixd_load_control_runs/qwen/main/cpu_offload12/qwen_fixd_main_cpu_offload12_profile-reference_conc4_run1.json	2026-07-26T11:28:34Z
ok	qwen	cpu_offload12	4	2	./fixd_load_control_runs/qwen/main/cpu_offload12/qwen_fixd_main_cpu_offload12_profile-reference_conc4_run2.json	2026-07-26T11:38:24Z
ok	qwen	cpu_offload12	4	3	./fixd_load_control_runs/qwen/main/cpu_offload12/qwen_fixd_main_cpu_offload12_profile-reference_conc4_run3.json	2026-07-26T11:48:14Z
ok	qwen	cpu_offload12	8	1	./fixd_load_control_runs/qwen/main/cpu_offload12/qwen_fixd_main_cpu_offload12_profile-reference_conc8_run1.json	2026-07-26T11:54:54Z
ok	qwen	cpu_offload12	8	2	./fixd_load_control_runs/qwen/main/cpu_offload12/qwen_fixd_main_cpu_offload12_profile-reference_conc8_run2.json	2026-07-26T12:01:33Z
ok	qwen	cpu_offload12	8	3	./fixd_load_control_runs/qwen/main/cpu_offload12/qwen_fixd_main_cpu_offload12_profile-reference_conc8_run3.json	2026-07-26T12:08:12Z
