status	model_alias	model_name	offload_gb	profile_id	input_len	output_len	concurrency	run_no	result_file	utc_time
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	short	128	32	4	1	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-short_offload12_conc4_run1.json	2026-07-25T11:12:45Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	short	128	32	4	1	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-short_offload12_conc4_run1.json	2026-07-25T11:18:13Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	short	128	32	8	1	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-short_offload12_conc8_run1.json	2026-07-25T11:18:13Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	short	128	32	8	1	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-short_offload12_conc8_run1.json	2026-07-25T11:21:42Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	reference	256	64	4	1	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-reference_offload12_conc4_run1.json	2026-07-25T11:21:42Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	reference	256	64	4	1	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-reference_offload12_conc4_run1.json	2026-07-25T11:32:02Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	reference	256	64	8	1	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-reference_offload12_conc8_run1.json	2026-07-25T11:32:02Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	reference	256	64	8	1	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-reference_offload12_conc8_run1.json	2026-07-25T11:38:42Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	long	512	128	4	1	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-long_offload12_conc4_run1.json	2026-07-25T11:38:42Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	long	512	128	4	1	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-long_offload12_conc4_run1.json	2026-07-25T11:58:51Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	long	512	128	8	1	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-long_offload12_conc8_run1.json	2026-07-25T11:58:51Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	long	512	128	8	1	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-long_offload12_conc8_run1.json	2026-07-25T12:11:52Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	long	512	128	8	2	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-long_offload12_conc8_run2.json	2026-07-25T12:11:52Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	long	512	128	8	2	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-long_offload12_conc8_run2.json	2026-07-25T12:24:54Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	long	512	128	4	2	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-long_offload12_conc4_run2.json	2026-07-25T12:24:54Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	long	512	128	4	2	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-long_offload12_conc4_run2.json	2026-07-25T12:44:13Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	short	128	32	8	2	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-short_offload12_conc8_run2.json	2026-07-25T12:44:13Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	short	128	32	8	2	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-short_offload12_conc8_run2.json	2026-07-25T12:47:41Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	short	128	32	4	2	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-short_offload12_conc4_run2.json	2026-07-25T12:47:41Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	short	128	32	4	2	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-short_offload12_conc4_run2.json	2026-07-25T12:52:44Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	reference	256	64	8	2	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-reference_offload12_conc8_run2.json	2026-07-25T12:52:44Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	reference	256	64	8	2	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-reference_offload12_conc8_run2.json	2026-07-25T12:59:24Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	reference	256	64	4	2	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-reference_offload12_conc4_run2.json	2026-07-25T12:59:24Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	reference	256	64	4	2	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-reference_offload12_conc4_run2.json	2026-07-25T13:09:12Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	reference	256	64	4	3	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-reference_offload12_conc4_run3.json	2026-07-25T13:09:12Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	reference	256	64	4	3	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-reference_offload12_conc4_run3.json	2026-07-25T13:19:02Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	reference	256	64	8	3	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-reference_offload12_conc8_run3.json	2026-07-25T13:19:02Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	reference	256	64	8	3	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-reference_offload12_conc8_run3.json	2026-07-25T13:25:42Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	long	512	128	4	3	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-long_offload12_conc4_run3.json	2026-07-25T13:25:42Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	long	512	128	4	3	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-long_offload12_conc4_run3.json	2026-07-25T13:45:06Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	long	512	128	8	3	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-long_offload12_conc8_run3.json	2026-07-25T13:45:06Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	long	512	128	8	3	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-long_offload12_conc8_run3.json	2026-07-25T13:58:07Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	short	128	32	4	3	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-short_offload12_conc4_run3.json	2026-07-25T13:58:07Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	short	128	32	4	3	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-short_offload12_conc4_run3.json	2026-07-25T14:03:11Z
started	qwen	Qwen/Qwen2.5-7B-Instruct	12	short	128	32	8	3	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-short_offload12_conc8_run3.json	2026-07-25T14:03:11Z
completed	qwen	Qwen/Qwen2.5-7B-Instruct	12	short	128	32	8	3	./profile_robustness_runs/qwen/offload12/bench_runs_plos_profile_robustness_v1_qwen_offload12_20260725_131245/qwen_profile-short_offload12_conc8_run3.json	2026-07-25T14:06:38Z
