model,concurrency,offload_gb,run_id,run_median_tpot_ms,cell_median_tpot_ms
llama,4,0,1,20.5107945238134,20.513971785721736
llama,4,0,2,20.513971785721736,20.513971785721736
llama,4,0,3,20.51181994444224,20.513971785721736
llama,4,0,4,20.768715698429176,20.513971785721736
llama,4,0,5,20.51490634127572,20.513971785721736
llama,4,2,1,248.7786933492071,248.79381350793332
llama,4,2,2,248.7579058968203,248.79381350793332
llama,4,2,3,248.8053569206372,248.79381350793332
llama,4,2,4,248.80874457936184,248.79381350793332
llama,4,2,5,248.79381350793332,248.79381350793332
llama,4,4,1,484.5971721825619,484.69793322219056
llama,4,4,2,484.6819102698473,484.69793322219056
llama,4,4,3,484.69793322219056,484.69793322219056
llama,4,4,4,484.7283286746085,484.69793322219056
llama,4,4,5,484.71783533337685,484.69793322219056
llama,4,8,1,943.6666357539672,943.6401897381018
llama,4,8,2,943.7618748015956,943.6401897381018
llama,4,8,3,943.6401897381018,943.6401897381018
llama,4,8,4,943.5563443174552,943.6401897381018
llama,4,8,5,943.5117994523772,943.6401897381018
llama,4,12,1,1398.378057190423,1398.378057190423
llama,4,12,2,1398.4533303412877,1398.378057190423
llama,4,12,3,1398.3242374286217,1398.378057190423
llama,4,12,4,1398.3891933491996,1398.378057190423
llama,4,12,5,1398.186316031772,1398.378057190423
llama,4,16,1,1476.3826743412558,1476.3826743412558
llama,4,16,2,1476.2189201428555,1476.3826743412558
llama,4,16,3,1476.6090794999775,1476.3826743412558
llama,4,16,4,1476.3446533254155,1476.3826743412558
llama,4,16,5,1476.399694436536,1476.3826743412558
llama,8,0,1,20.962080992065903,20.946623825390517
llama,8,0,2,20.93784548411812,20.946623825390517
llama,8,0,3,20.946623825390517,20.946623825390517
llama,8,0,4,20.932088849197804,20.946623825390517
llama,8,0,5,20.97337572222531,20.946623825390517
llama,8,2,1,250.50218759523497,250.51240404761865
llama,8,2,2,250.529198293645,250.51240404761865
llama,8,2,3,250.44770466666665,250.51240404761865
llama,8,2,4,250.51756706349647,250.51240404761865
llama,8,2,5,250.51240404761865,250.51240404761865
llama,8,4,1,487.9591859523879,487.9225975714473
llama,8,4,2,487.9225975714473,487.9225975714473
llama,8,4,3,487.8160816031538,487.9225975714473
llama,8,4,4,488.0210717618909,487.9225975714473
llama,8,4,5,487.895641365073,487.9225975714473
llama,8,8,1,949.1457042063374,949.1693277460212
llama,8,8,2,949.1892345714216,949.1693277460212
llama,8,8,3,949.1285061111062,949.1693277460212
llama,8,8,4,949.1693277460212,949.1693277460212
