model,concurrency,offload_gb,metric,cell_median_ms,ratio_to_offload0
llama,4,0,TTFT,62.87373699979071,1.0
llama,4,0,ITL,20.50071600024239,1.0
llama,4,2,TTFT,747.013757500099,11.8811731757345
llama,4,2,ITL,248.8035460000901,12.136334457642766
llama,4,4,TTFT,878.5908135014324,13.973892048191075
llama,4,4,ITL,484.6872785001324,23.642456121747244
llama,4,8,TTFT,2261.6130445003364,35.97071134021928
llama,4,8,ITL,943.59635300043,46.0274827956874
llama,4,12,TTFT,3353.694830002496,53.34015425254045
llama,4,12,ITL,1398.351243500656,68.20987342510976
llama,4,16,TTFT,3547.736703996634,56.42636931233216
llama,4,16,ITL,1476.3788749987723,72.01596641704204
llama,8,0,TTFT,64.75152450093447,1.0
llama,8,0,ITL,20.91854450009123,1.0
llama,8,2,TTFT,607.715468000606,9.385346100875752
llama,8,2,ITL,250.4041440006404,11.970438191794289
llama,8,4,TTFT,1171.8848799991974,18.09818207418862
llama,8,4,ITL,487.7804080006172,23.318085443205185
llama,8,8,TTFT,2263.7676599997576,34.96083957014924
llama,8,8,ITL,948.9298369999232,45.36309096437301
llama,8,12,TTFT,3356.430444498983,51.83554318401483
llama,8,12,ITL,1406.4548915011983,67.23483517197215
llama,8,16,TTFT,3548.812352999448,54.806622397720275
llama,8,16,ITL,1484.6197184997436,70.97146354963984
qwen,4,0,TTFT,60.32834199982062,1.0
qwen,4,0,ITL,19.32229199996982,1.0
qwen,4,2,TTFT,792.1927795005104,13.131353411019747
qwen,4,2,ITL,277.7123945002131,14.372642463981338
qwen,4,4,TTFT,1421.518357499281,23.563027100985266
qwen,4,4,ITL,539.969570500034,27.94542026902799
qwen,4,8,TTFT,2901.5461314993445,48.09590377119881
qwen,4,8,ITL,1015.7841070031282,52.57058049866521
qwen,4,12,TTFT,3901.1056314993766,64.66455901458349
qwen,4,12,ITL,1485.0309115008713,76.85583633159
qwen,4,16,TTFT,4214.424270499876,69.85811528704713
qwen,4,16,ITL,1478.782317999503,76.53244853156203
qwen,8,0,TTFT,71.28304649995698,1.0
qwen,8,0,ITL,19.675756000197,1.0
qwen,8,2,TTFT,957.5430274999236,13.432970033070928
qwen,8,2,ITL,279.101925500072,14.185067424970992
qwen,8,4,TTFT,1873.0728854998235,26.27655490988245
qwen,8,4,ITL,541.8768519998594,27.540331969680548
qwen,8,8,TTFT,3532.952462999674,49.562310205159456
qwen,8,8,ITL,1018.7478570005624,51.77680882962577
qwen,8,12,TTFT,5170.694109499891,72.53750173967398
qwen,8,12,ITL,1489.7859820011945,75.71683558112218
qwen,8,16,TTFT,5156.12885200062,72.33317184337417
qwen,8,16,ITL,1484.17846349912,75.43183923831236
