model,profile,concurrency,metric,normal_ms,offload12_ms,ratio_offload12_over_normal
llama,128/32,4,ITL,20.352202999674773,1400.2576140010206,68.80127984294361
llama,256/64,4,ITL,20.56431800065184,1400.4937705003613,68.10309831116057
llama,512/128,4,ITL,20.722327499242965,1400.6627545004449,67.59196111303686
llama,128/32,8,ITL,20.73255799950857,1408.3451190008418,67.92915370280042
llama,256/64,8,ITL,21.001354499276204,1408.8481514991145,67.0836803191751
llama,512/128,8,ITL,21.4172915002564,1409.2456084999867,65.79943166404192
llama,128/32,4,TPOT,20.391272016123335,1400.373197096762,68.67512708326826
llama,256/64,4,TPOT,20.590630738095367,1400.4610248015929,68.01447913931827
llama,512/128,4,TPOT,20.761122720471143,1400.632448303161,67.46419580296069
llama,128/32,8,TPOT,20.824438838703387,1408.5999961612729,67.64167846594314
llama,256/64,8,TPOT,21.04405246824634,1409.0746010079451,66.9583295866667
llama,512/128,8,TPOT,21.465901669288307,1409.452361948816,65.66005862056787
llama,128/32,4,TTFT,62.4679800002923,4209.287835499708,67.38312709135164
llama,256/64,4,TTFT,62.68150500000047,3362.4420175001437,53.6432878805338
llama,512/128,4,TTFT,64.18005699924834,4211.264923998897,65.61640984594666
llama,128/32,8,TTFT,63.370594999469176,3326.982421000139,52.50041318103463
llama,256/64,8,TTFT,65.37228399974992,3364.482553499329,51.4664984554035
llama,512/128,8,TTFT,68.47832899984496,3362.3009975008245,49.1002196842221
qwen,128/32,4,ITL,19.38400499994941,1484.5977395016234,76.58880295921807
qwen,256/64,4,ITL,19.416189999958533,1484.4453600017005,76.45399844175766
qwen,512/128,4,ITL,19.550355999967906,1484.5177494989912,75.93302902010727
qwen,128/32,8,ITL,19.62358750006388,1489.3574079978862,75.89628593614893
qwen,256/64,8,ITL,19.78141249998089,1489.5547215000988,75.30072594672085
qwen,512/128,8,ITL,19.96637749994079,1489.819409998745,74.61641001244031
qwen,128/32,4,TPOT,19.46673909677363,1480.0901417096495,76.0317449343612
qwen,256/64,4,TPOT,19.43917064285765,1484.507088531765,76.36679135162608
qwen,512/128,4,TPOT,19.56620169685033,1484.6344576023732,75.8774994045657
qwen,128/32,8,TPOT,19.681430322579686,1489.738850145166,75.69261104138609
qwen,256/64,8,TPOT,19.835905468253728,1489.8741643095173,75.1099649418061
qwen,512/128,8,TPOT,20.01095595275593,1490.1030003425185,74.4643586173753
qwen,128/32,4,TTFT,59.76913900002501,3891.654553499393,65.11143741752353
qwen,256/64,4,TTFT,60.06367600002704,4234.901596999407,70.50686669589622
qwen,512/128,4,TTFT,61.60233199994991,4236.507134499334,68.77186296296021
qwen,128/32,8,TTFT,70.8597629999872,4234.912184998393,59.764695868361265
qwen,256/64,8,TTFT,70.60156049999478,5165.102208500684,73.1584708882046
qwen,512/128,8,TTFT,73.39190549998875,5165.07515900048,70.37663246120884
